,X,Index,Date,Year,Prev_date,nest_number,ID,Species,Start.Time,AMPM,AMPM_asnumeric,Duration_min,Start.Air.Temp,Start.Egg.Temp,Mean.Egg.Temp_offbout,Sunrise,Sunset,prev.sunset,Day.Length,ID_day,two_before_start,Air.Mean.2hr,Air.SD.2hr,Air.Max.2hr,Air.Min.2hr,log_Duration,Air_CV,TempRange_Mean,TempRange_SD,Date_2,Month_Year,Date_Written,predict_BestMod2hr
577,744,927,6/13/2016,2016,6/12/2016,16-18,2016SC018,SC,17.53,PM,2,84,34.889,36.444,33.489,6.22,21.02,21.01,14:40:19,2016SC018_114,15.53,42.88969962,2.806435837,45,33.992,4.430816799,0.065433796,five,two,6/13/2016,16-Jun,13-Jun-16,99.03408733
680,849,889,6/10/2016,2016,6/9/2016,16-17,2016SC017,SC,18.02,PM,2,122,31.816,35.77,33.502,6.22,21.01,21,14:38:57,2016SC017_111,16.02,40.47139709,3.673957235,45,31.74,4.804021045,0.090779106,five,two,6/10/2016,16-Jun,10-Jun-16,98.8631331
681,850,909,6/20/2016,2016,6/19/2016,16-17,2016SC017,SC,18.02,PM,2,146,36.498,36.444,33.423,6.23,21.04,21.03,14:41:40,2016SC017_121,16.02,40.47139709,3.673957235,45,31.74,4.983606622,0.090779106,five,two,6/20/2016,16-Jun,20-Jun-16,98.8631331
381,522,734,8/6/2016,2016,8/5/2016,16-57,2016BW057,BW,11.18,AM,1,74,24.171,35.582,31.043,6.52,20.43,20.43,13:51:03,2016BW057_168,9.18,36.96343616,7.437737319,45,22.872,4.304065093,0.201218774,four,four,8/6/2016,16-Aug,6-Aug-16,98.19946431
319,457,1014,5/31/2016,2016,5/30/2016,16-3,2016SC03,SC,7.59,AM,1,142,16.106,32.949,25.635,6.24,20.55,20.54,14:31:09,2016SC03_101,5.59,16.80840178,3.66454869,22.585,7.795,4.955827058,0.218018866,one,two,5/31/2016,16-May,31-May-16,98.05787703
842,1017,765,8/6/2016,2016,8/5/2016,16-58,2016BW058,BW,18.08,PM,2,80,30.142,32.407,28.946,6.52,20.43,20.43,13:51:03,2016BW058_168,16.08,38.86698547,7.470457368,45,20.603,4.382026635,0.192205731,four,four,8/6/2016,16-Aug,6-Aug-16,97.50600928
190,287,917,6/24/2016,2016,6/23/2016,16-17,2016SC017,SC,8.5,AM,1,36,26.891,35.368,32.444,6.24,21.05,21.04,14:41:16,2016SC017_125,6.5,22.23428605,2.000977784,28.766,18.033,3.583518938,0.089995144,two,two,6/24/2016,16-Jun,24-Jun-16,97.26237804
644,811,1061,6/3/2016,2016,6/2/2016,16-7,2016SC07,SC,17.35,PM,2,150,33.94,35.128,31.069,6.23,20.57,20.56,14:34:00,2016SC07_104,15.35,38.76665716,3.394951282,45,25.89,5.010635294,0.087574001,four,two,6/3/2016,16-Jun,3-Jun-16,97.06384476
265,394,929,6/14/2016,2016,6/13/2016,16-18,2016SC018,SC,10.07,AM,1,46,25.21,34.229,28.933,6.22,21.02,21.02,14:40:40,2016SC018_115,8.07,25.88814407,2.685623021,33.548,21.366,3.828641396,0.103739496,three,two,6/14/2016,16-Jun,14-Jun-16,96.84210507
796,970,863,6/20/2016,2016,6/19/2016,16-10,2016SC010,SC,20.11,PM,2,64,32.794,36.552,33.572,6.23,21.04,21.03,14:41:40,2016SC010_121,18.11,39.78760806,5.315976306,45,25.38,4.158883083,0.133608844,four,three,6/20/2016,16-Jun,20-Jun-16,96.74575748
760,931,962,6/22/2016,2016,6/21/2016,16-22,2016SC022,SC,18.59,PM,2,112,40.372,39.403,36.737,6.23,21.05,21.04,14:41:34,2016SC022_123,16.59,37.9810013,4.429127178,45,28.147,4.718498871,0.116614282,four,three,6/22/2016,16-Jun,22-Jun-16,96.70502539
248,375,872,6/24/2016,2016,6/23/2016,16-10,2016SC010,SC,8.17,AM,1,82,24.195,35.475,30.717,6.24,21.05,21.04,14:41:16,2016SC010_125,6.17,21.14495127,2.602469437,26.426,12.364,4.406719247,0.12307758,two,two,6/24/2016,16-Jun,24-Jun-16,96.58692102
690,859,892,6/12/2016,2016,6/11/2016,16-17,2016SC017,SC,18.14,PM,2,108,36.281,36.444,33.065,6.22,21.02,21.01,14:39:54,2016SC017_113,16.14,39.63648345,3.790764388,45,31.535,4.682131227,0.095638262,four,two,6/12/2016,16-Jun,12-Jun-16,96.5236197
324,462,1029,6/13/2016,2016,6/12/2016,16-3,2016SC03,SC,7.27,AM,1,46,20.031,33.966,24.07,6.22,21.02,21.01,14:40:19,2016SC03_114,5.27,16.25193666,3.810251325,22.082,7.795,3.828641396,0.234449063,one,two,6/13/2016,16-Jun,13-Jun-16,96.33917106
246,373,868,6/22/2016,2016,6/21/2016,16-10,2016SC010,SC,8.13,AM,1,88,25.768,35.342,32.335,6.23,21.05,21.04,14:41:34,2016SC010_123,6.13,21.02992726,2.595205011,25.841,12.364,4.477336814,0.123405325,two,two,6/22/2016,16-Jun,22-Jun-16,96.31949433
649,816,1068,6/7/2016,2016,6/6/2016,16-7,2016SC07,SC,17.43,PM,2,110,36.173,35.77,33.146,6.22,20.59,20.58,14:37:07,2016SC07_108,15.43,38.38634438,3.418366235,45,25.841,4.700480366,0.089051622,four,two,6/7/2016,16-Jun,7-Jun-16,96.06817338
330,468,1023,6/8/2016,2016,6/7/2016,16-3,2016SC03,SC,6.23,AM,1,114,18.295,33.053,28.613,6.22,21,20.59,14:37:47,2016SC03_109,4.23,16.13865031,3.838785502,21.676,7.795,4.736198448,0.237862859,one,two,6/8/2016,16-Jun,8-Jun-16,95.99192441
137,209,895,6/13/2016,2016,6/12/2016,16-17,2016SC017,SC,8.28,AM,1,124,21.413,33.521,29.695,6.22,21.02,21.01,14:40:19,2016SC017_114,6.28,21.42125,1.694335837,26.353,17.796,4.820281566,0.07909603,two,one,6/13/2016,16-Jun,13-Jun-16,95.9719761
339,477,1030,6/14/2016,2016,6/13/2016,16-3,2016SC03,SC,7.13,AM,1,88,20.055,33.94,28.835,6.22,21.02,21.02,14:40:40,2016SC03_115,5.13,16.1246851,3.856133641,21.604,7.795,4.477336814,0.239144741,one,two,6/14/2016,16-Jun,14-Jun-16,95.91661954
338,476,1021,6/6/2016,2016,6/5/2016,16-3,2016SC03,SC,6.27,AM,1,90,12.751,33.94,22.844,6.22,20.59,20.58,14:36:25,2016SC03_107,4.27,16.11818466,3.851158442,21.604,7.795,4.49980967,0.238932518,one,two,6/6/2016,16-Jun,6-Jun-16,95.91223207
340,478,1020,6/5/2016,2016,6/4/2016,16-3,2016SC03,SC,6.33,AM,1,110,10.051,35.128,22.999,6.23,20.58,20.57,14:35:39,2016SC03_106,4.33,16.09546387,3.865250018,21.604,7.795,4.700480366,0.240145301,one,two,6/5/2016,16-Jun,5-Jun-16,95.82292357
226,351,924,6/10/2016,2016,6/9/2016,16-18,2016SC018,SC,9.55,AM,1,80,24.823,36.362,31.938,6.22,21.01,21,14:38:57,2016SC018_111,7.55,25.23011676,2.427188269,31.97,21.294,4.382026635,0.096202023,three,two,6/10/2016,16-Jun,10-Jun-16,95.82182128
341,479,1012,5/29/2016,2016,5/28/2016,16-3,2016SC03,SC,6.35,AM,1,122,15.772,33.757,24.155,6.25,20.54,20.52,14:29:02,2016SC03_99,4.35,16.08816414,3.86894576,21.604,7.795,4.804021045,0.240483981,one,two,5/29/2016,16-May,29-May-16,95.79618461
342,480,1019,6/4/2016,2016,6/3/2016,16-3,2016SC03,SC,6.35,AM,1,114,16.368,34.545,24.799,6.23,20.58,20.57,14:34:51,2016SC03_105,4.35,16.08816414,3.86894576,21.604,7.795,4.736198448,0.240483981,one,two,6/4/2016,16-Jun,4-Jun-16,95.79618461
343,481,1011,5/28/2016,2016,5/27/2016,16-3,2016SC03,SC,6.37,AM,1,128,9.139,33.835,20.389,6.25,20.53,20.52,14:27:54,2016SC03_98,4.37,16.08088403,3.872720019,21.604,7.795,4.852030264,0.240827557,one,two,5/28/2016,16-May,28-May-16,95.76930967
344,482,1018,6/3/2016,2016,6/2/2016,16-3,2016SC03,SC,6.39,AM,1,136,11.516,34.889,22.871,6.23,20.57,20.56,14:34:00,2016SC03_104,4.39,16.07448528,3.876065555,21.604,7.795,4.912654886,0.24113155,one,two,6/3/2016,16-Jun,3-Jun-16,95.74562205
348,486,1022,6/7/2016,2016,6/6/2016,16-3,2016SC03,SC,7.03,AM,1,82,18.033,34.492,26.323,6.22,20.59,20.58,14:37:07,2016SC03_108,5.03,16.07490633,3.881737113,21.604,7.795,4.406719247,0.241478055,one,two,6/7/2016,16-Jun,7-Jun-16,95.73333671
345,483,1024,6/9/2016,2016,6/8/2016,16-3,2016SC03,SC,6.41,AM,1,86,21.39,33.966,27.494,6.22,21,20.59,14:38:23,2016SC03_110,4.41,16.06957003,3.878550174,21.604,7.795,4.454347296,0.241359922,one,two,6/9/2016,16-Jun,9-Jun-16,95.72762661
346,484,1025,6/10/2016,2016,6/9/2016,16-3,2016SC03,SC,6.43,AM,1,84,19.698,32.717,26.029,6.22,21.01,21,14:38:57,2016SC03_111,4.43,16.06556735,3.880976053,21.604,7.795,4.430816799,0.241571055,one,two,6/10/2016,16-Jun,10-Jun-16,95.71202631
347,485,1026,6/11/2016,2016,6/10/2016,16-3,2016SC03,SC,6.43,AM,1,76,20.007,36.012,29.745,6.22,21.01,21,14:39:27,2016SC03_112,4.43,16.06556735,3.880976053,21.604,7.795,4.33073334,0.241571055,one,two,6/11/2016,16-Jun,11-Jun-16,95.71202631
350,488,1017,6/2/2016,2016,6/1/2016,16-3,2016SC03,SC,7.01,AM,1,90,15.438,32.82,25.5,6.23,20.56,20.56,14:33:06,2016SC03_103,5.01,16.06805174,3.884731942,21.604,7.795,4.49980967,0.241767453,one,two,6/2/2016,16-Jun,2-Jun-16,95.70934571
349,487,1013,5/30/2016,2016,5/29/2016,16-3,2016SC03,SC,6.45,AM,1,104,9.879,32.536,21.543,6.24,20.55,20.54,14:30:07,2016SC03_100,4.45,16.06197145,3.883162196,21.604,7.795,4.644390899,0.241761244,one,two,5/30/2016,16-May,30-May-16,95.69799545
351,489,1016,6/1/2016,2016,5/31/2016,16-3,2016SC03,SC,6.59,AM,1,124,15.605,33.835,22.713,6.24,20.56,20.55,14:32:09,2016SC03_102,4.59,16.06274933,3.88667329,21.604,7.795,4.820281566,0.241968122,one,two,6/1/2016,16-Jun,1-Jun-16,95.69166923
352,490,1027,6/12/2016,2016,6/11/2016,16-3,2016SC03,SC,6.57,AM,1,50,19.151,34.202,27.473,6.22,21.02,21.01,14:39:54,2016SC03_113,4.57,16.05858519,3.888093246,21.604,7.795,3.912023005,0.24211929,one,two,6/12/2016,16-Jun,12-Jun-16,95.67803325
210,330,545,6/19/2016,2016,6/18/2016,16-28,2016BW028,BW,9.08,AM,1,58,28.048,36.417,33.321,6.22,21.04,21.03,14:41:38,2016BW028_120,7.08,24.8717839,2.324544413,31.153,20.317,4.060443011,0.093461105,two,two,6/19/2016,16-Jun,19-Jun-16,95.64605104
700,869,894,6/13/2016,2016,6/12/2016,16-17,2016SC017,SC,18.2,PM,2,80,30.545,35.395,31.671,6.22,21.02,21.01,14:40:19,2016SC017_114,16.2,39.21085311,3.814219967,45,30.596,4.382026635,0.097274598,four,two,6/13/2016,16-Jun,13-Jun-16,95.41576602
701,870,901,6/16/2016,2016,6/15/2016,16-17,2016SC017,SC,18.2,PM,2,102,33.001,35.743,33.194,6.22,21.03,21.02,14:41:13,2016SC017_117,16.2,39.21085311,3.814219967,45,30.596,4.624972813,0.097274598,four,two,6/16/2016,16-Jun,16-Jun-16,95.41576602
304,440,709,7/26/2016,2016,7/25/2016,16-55,2016BW055,BW,9.2,AM,1,72,28.766,34.995,31.713,6.43,20.53,20.54,14:10:25,2016BW055_157,7.2,25.07694896,3.346156208,34.757,19.222,4.276666119,0.133435539,three,two,7/26/2016,16-Jul,26-Jul-16,95.18011897
241,367,858,6/17/2016,2016,6/16/2016,16-10,2016SC010,SC,7.51,AM,1,112,23.112,35.662,30.109,6.22,21.03,21.03,14:41:24,2016SC010_118,5.51,20.52189477,2.550477534,25.841,12.34,4.718498871,0.124280802,two,two,6/17/2016,16-Jun,17-Jun-16,95.16804336
112,163,684,7/20/2016,2016,7/19/2016,16-48,2016BW048,BW,8.15,AM,1,44,25.987,36.688,33.949,6.38,20.58,20.57,14:19:27,2016BW048_151,6.15,22.56779209,1.505732941,26.304,18.557,3.784189634,0.066720437,two,one,7/20/2016,16-Jul,20-Jul-16,94.86736323
208,318,551,6/24/2016,2016,6/23/2016,16-28,2016BW028,BW,9.04,AM,1,82,26.256,36.905,32.657,6.24,21.05,21.04,14:41:16,2016BW028_125,7.04,24.61796458,2.294452561,30.798,20.15,4.406719247,0.093202367,two,two,6/24/2016,16-Jun,24-Jun-16,94.69906765
236,362,856,6/16/2016,2016,6/15/2016,16-10,2016SC010,SC,7.29,AM,1,98,20.984,34.995,31.609,6.22,21.03,21.02,14:41:13,2016SC010_117,5.29,20.20394562,2.520974658,25.55,12.34,4.584967479,0.124776353,two,two,6/16/2016,16-Jun,16-Jun-16,94.45096371
711,880,883,6/11/2016,2016,6/10/2016,16-13,2016SC013,SC,19.16,PM,2,98,34.942,37.563,32.498,6.22,21.01,21,14:39:27,2016SC013_112,17.16,39.29736842,3.836426353,45,29.49,4.584967479,0.097625528,four,two,6/11/2016,16-Jun,11-Jun-16,94.36323828
702,871,913,6/22/2016,2016,6/21/2016,16-17,2016SC017,SC,18.26,PM,2,132,38.868,36.688,36.508,6.23,21.05,21.04,14:41:34,2016SC017_123,16.26,38.77734302,3.817478527,45,30.419,4.882801923,0.098446109,four,two,6/22/2016,16-Jun,22-Jun-16,94.33588083
797,971,1015,6/1/2016,2016,5/31/2016,16-3,2016SC03,SC,18.05,PM,2,74,23.93,33.783,29.657,6.24,20.56,20.55,14:32:09,2016SC03_102,16.05,32.89981802,5.352921591,43.495,19.341,4.304065093,0.162703684,four,three,6/1/2016,16-Jun,1-Jun-16,94.31537635
261,388,840,6/8/2016,2016,6/7/2016,16-10,2016SC010,SC,5.59,AM,1,128,18.343,34.624,27.545,6.22,21,20.59,14:37:47,2016SC010_109,3.59,20.22951907,2.625183268,25.453,12.364,4.852030264,0.12976993,two,two,6/8/2016,16-Jun,8-Jun-16,94.26935182
71,106,898,6/15/2016,2016,6/14/2016,16-17,2016SC017,SC,7.3,AM,1,50,21.987,34.942,30.031,6.22,21.03,21.02,14:40:58,2016SC017_116,5.3,20.37427441,1.31958167,24.992,17.748,3.912023005,0.064767051,two,one,6/15/2016,16-Jun,15-Jun-16,94.26300325
260,387,847,6/12/2016,2016,6/11/2016,16-10,2016SC010,SC,6.03,AM,1,156,19.032,35.555,27.743,6.22,21.02,21.01,14:39:54,2016SC010_113,4.03,20.21255155,2.623416014,25.453,12.364,5.049856007,0.129791432,two,two,6/12/2016,16-Jun,12-Jun-16,94.23153757
237,363,851,6/14/2016,2016,6/13/2016,16-10,2016SC010,SC,7.17,AM,1,138,20.722,33.809,25.921,6.22,21.02,21.02,14:40:40,2016SC010_115,5.17,20.10638912,2.535093226,25.283,12.34,4.927253685,0.126083963,two,two,6/14/2016,16-Jun,14-Jun-16,94.17649582
259,386,838,6/7/2016,2016,6/6/2016,16-10,2016SC010,SC,6.09,AM,1,108,18.01,34.836,26.323,6.22,20.59,20.58,14:37:07,2016SC010_108,4.09,20.18715466,2.622749297,25.453,12.34,4.682131227,0.129921692,two,two,6/7/2016,16-Jun,7-Jun-16,94.17028843
258,385,876,6/27/2016,2016,6/26/2016,16-10,2016SC010,SC,6.15,AM,1,130,19.865,35.689,29.606,6.25,21.05,21.04,14:40:25,2016SC010_128,4.15,20.16287924,2.622095756,25.453,12.34,4.86753445,0.130045701,two,two,6/27/2016,16-Jun,27-Jun-16,94.11178213
238,364,865,6/21/2016,2016,6/20/2016,16-10,2016SC010,SC,7.13,AM,1,90,20.889,35.502,29.049,6.23,21.04,21.04,14:41:39,2016SC010_122,5.13,20.08640184,2.542435784,25.137,12.34,4.49980967,0.126574974,two,two,6/21/2016,16-Jun,21-Jun-16,94.10980681
257,384,860,6/18/2016,2016,6/17/2016,16-10,2016SC010,SC,6.17,AM,1,154,22.106,35.288,30.932,6.22,21.04,21.03,14:41:33,2016SC010_119,4.17,20.15419421,2.621481206,25.453,12.34,5.036952602,0.130071249,two,two,6/18/2016,16-Jun,18-Jun-16,94.09174493
239,365,850,6/13/2016,2016,6/12/2016,16-10,2016SC010,SC,7.11,AM,1,128,20.15,32.639,24.269,6.22,21.02,21.01,14:40:19,2016SC010_114,5.11,20.07788347,2.546337464,25.089,12.34,4.852030264,0.126823002,two,two,6/13/2016,16-Jun,13-Jun-16,94.0795698
240,366,870,6/23/2016,2016,6/22/2016,16-10,2016SC010,SC,7.11,AM,1,78,25.137,34.969,30.691,6.23,21.05,21.04,14:41:27,2016SC010_124,5.11,20.07788347,2.546337464,25.089,12.34,4.356708827,0.126823002,two,two,6/23/2016,16-Jun,23-Jun-16,94.0795698
256,383,846,6/11/2016,2016,6/10/2016,16-10,2016SC010,SC,6.19,AM,1,116,20.889,35.288,27.719,6.22,21.01,21,14:39:27,2016SC010_112,4.19,20.14547458,2.6208185,25.453,12.34,4.753590191,0.130094652,two,two,6/11/2016,16-Jun,11-Jun-16,94.0717353
254,381,834,6/5/2016,2016,6/4/2016,16-10,2016SC010,SC,6.21,AM,1,86,12.413,33.521,24.477,6.23,20.58,20.57,14:35:39,2016SC010_106,4.21,20.13641525,2.61990189,25.453,12.34,4.454347296,0.130107661,two,two,6/5/2016,16-Jun,5-Jun-16,94.05148208
255,382,835,6/6/2016,2016,6/5/2016,16-10,2016SC010,SC,6.21,AM,1,110,14.505,34.757,23.948,6.22,20.59,20.58,14:36:25,2016SC010_107,4.21,20.13641525,2.61990189,25.453,12.34,4.700480366,0.130107661,two,two,6/6/2016,16-Jun,6-Jun-16,94.05148208
253,380,864,6/20/2016,2016,6/19/2016,16-10,2016SC010,SC,6.25,AM,1,102,21.533,35.448,28.524,6.23,21.04,21.03,14:41:40,2016SC010_121,4.25,20.1184435,2.617441703,25.453,12.34,4.624972813,0.130101601,two,two,6/20/2016,16-Jun,20-Jun-16,94.01281223
63,94,908,6/20/2016,2016,6/19/2016,16-17,2016SC017,SC,7.12,AM,1,64,21.461,35.288,29.292,6.23,21.04,21.03,14:41:40,2016SC017_121,5.12,20.25581679,1.307273273,24.46,17.605,4.158883083,0.064538166,two,one,6/20/2016,16-Jun,20-Jun-16,93.99893608
251,378,841,6/9/2016,2016,6/8/2016,16-10,2016SC010,SC,6.29,AM,1,100,21.342,34.519,27.48,6.22,21,20.59,14:38:23,2016SC010_110,4.29,20.10167867,2.614671267,25.428,12.34,4.605170186,0.130072285,two,two,6/9/2016,16-Jun,9-Jun-16,93.97785653
252,379,861,6/19/2016,2016,6/18/2016,16-10,2016SC010,SC,6.29,AM,1,132,19.936,34.124,28.749,6.22,21.04,21.03,14:41:38,2016SC010_120,4.29,20.10167867,2.614671267,25.428,12.34,4.882801923,0.130072285,two,two,6/19/2016,16-Jun,19-Jun-16,93.97785653
