Index,ID_day,AMPM_ID_day,Start.Time,Date,Year,Prev_date,nest_number,ID,Species,AMPM,Duration_min,Start.Air.Temp,Start.Egg.Temp,Mean.Egg.Temp_offbout,Sunrise,Sunset,prev.sunset,Day.Length,two_before_start,Air.Mean.24hr,Air.SD.24hr,Air.Max.24hr,Air.Min.24hr,Air.Mean.Morn,Air.SD.Morn,Air.Max.Morn,Air.Min.Morn,Air.Mean.Aft,Air.SD.Aft,Air.Max.Aft,Air.Min.Aft,Air.Mean.PrevDay,Air.SD.PrevDay,Air.Max.PrevDay,Air.Min.PrevDay,Air.Mean.PrevAft,Air.SD.PrevAft,Air.Max.PrevAft,Air.Min.PrevAft,Air.Mean.PrevNight,Air.SD.PrevNight,Air.Max.PrevNight,Air.Min.PrevNight,nest.Mean.2hr,nest.SD.2hr,nest.Max.2hr,nest.Min.2hr,nest.Mean.24hr,nest.SD.24hr,nest.Max.24hr,nest.Min.24hr,nest.Mean.Morn,nest.SD.Morn,nest.Max.Morn,nest.Min.Morn,nest.Mean.Aft,nest.SD.Aft,nest.Max.Aft,nest.Min.Aft,nest.Mean.PrevDay,nest.SD.PrevDay,nest.Max.PrevDay,nest.Min.PrevDay,nest.Mean.PrevAft,nest.SD.PrevAft,nest.Max.PrevAft,nest.Min.PrevAft,nest.Mean.PrevNight,nest.SD.PrevNight,nest.Max.PrevNight,nest.Min.PrevNight,log_Duration,CV.24hr,CV.Morn,CV.Aft,CV.PrevDay,CV.PrevAft,CV.PrevNight,X24hr_thirds,Date_2,Month_Year,Date_Written,predictedtime
232,2015SC014_26,AM_2015SC014_26,6.47,6/19/2015,2015,6/18/2015,15-14,2015SC014,SC,AM,392,19.793,28.394,26.819,6.22,21.04,21.03,14:41:27,4.47,28.15012361,7.757636939,45,19.389,27.15877515,5.550422321,37.096,19.674,35.63408824,5.965397128,45,26.012,28.01006806,8.821293379,45,17.034,35.76273801,7.211257383,45,24.412,21.36795341,1.120267142,24.195,19.389,28.27867119,1.510630075,31.026,23.328,28.39822361,1.264764101,29.69,21.819,27.59061538,2.144753616,29.215,21.819,28.77084559,0.878064766,29.69,24.75,29.0810125,0.788294122,30.016,24.798,28.7705572,1.063539839,29.615,24.798,28.53675269,0.276175994,29.09,27.628,5.97126184,0.275580919,0.20436939,0.167407037,0.314932951,0.201641647,0.052427442,Cool,6/19/2015,15-Jun,19-Jun-15,6.207077102
233,2015SC014_27,AM_2015SC014_27,6.37,6/20/2015,2015,6/19/2015,15-14,2015SC014,SC,AM,342,19.912,28.171,26.917,6.22,21.04,21.04,14:41:34,4.37,30.11219028,9.178717797,45,19.841,30.42910651,7.909163307,44.135,19.841,38.37676471,6.47027208,45,26.72,28.15012361,7.757636939,45,19.389,35.63408824,5.965397128,45,26.012,21.29205018,1.381248642,25.914,19.96,28.36050169,1.365916232,31.026,23.545,28.08703472,0.914778178,29.215,22.992,27.19833728,1.393687345,28.419,22.992,28.59059191,0.398777337,29.215,27.554,28.39822361,1.264764101,29.69,21.819,28.77084559,0.878064766,29.69,24.75,28.29755914,0.363361765,28.99,27.308,5.834810737,0.304817342,0.259920984,0.168598685,0.275580919,0.167407037,0.064871566,Middle,6/20/2015,15-Jun,20-Jun-15,6.366771075
234,2015SC014_28,AM_2015SC014_28,5.13,6/21/2015,2015,6/20/2015,15-14,2015SC014,SC,AM,70,20.174,27.53,25.209,6.22,21.04,21.04,14:41:39,3.13,30.62194306,8.77109406,45,20.15,31.18776923,7.960207172,45,20.436,38.24642279,6.355731678,45,27.038,30.11219028,9.178717797,45,19.841,38.37676471,6.47027208,45,26.72,22.68980287,1.71012092,26.646,20.15,28.49852034,1.429385139,30.748,17.915,27.7873,1.599564472,29.34,20.46,26.23773964,2.516457166,28.593,20.46,28.83611397,0.318361102,29.34,28.171,28.08703472,0.914778178,29.215,22.992,28.59059191,0.398777337,29.215,27.554,27.66614337,0.358830546,28.468,27.063,4.248495242,0.286431663,0.2552349,0.166178461,0.304817342,0.168598685,0.07536958,Middle,6/21/2015,15-Jun,21-Jun-15,6.153414543
235,2015SC014_29,AM_2015SC014_29,6.09,6/22/2015,2015,6/21/2015,15-14,2015SC014,SC,AM,338,20.936,27.653,25.238,6.23,21.04,21.04,14:41:40,4.09,31.08279861,8.675172164,45,20.889,31.03917262,7.785121058,44.905,20.889,38.91997794,6.224476288,45,27.186,30.62194306,8.77109406,45,20.15,38.24642279,6.355731678,45,27.038,23.48134409,1.478963874,26.916,20.889,28.44965085,1.162474584,31.026,24.653,27.64107083,1.596675652,29.165,20.055,25.99070238,2.420591059,28.147,20.055,28.65920221,0.350473659,29.165,27.702,27.7873,1.599564472,29.34,20.46,28.83611397,0.318361102,29.34,28.171,27.93304659,0.29672081,28.568,27.505,5.823045895,0.279098812,0.250815998,0.159930108,0.286431663,0.166178461,0.062984634,Warm,6/22/2015,15-Jun,22-Jun-15,6.214613867
236,2015SC014_30,AM_2015SC014_30,5.45,6/23/2015,2015,6/22/2015,15-14,2015SC014,SC,AM,150,19.722,27.038,24.503,6.23,21.04,21.04,14:41:38,3.45,30.32747639,9.144652238,45,19.627,29.60441667,8.074397286,44.349,19.817,38.89605147,6.320985771,45,26.085,31.08279861,8.675172164,45,20.889,38.91997794,6.224476288,45,27.186,22.68913978,2.134320844,27.038,19.627,28.51880847,1.065186151,31.026,25.793,25.52697083,2.760966313,28.99,19.127,25.43329762,1.962219135,27.85,20.031,26.13075,2.011791719,28.99,21.151,27.64107083,1.596675652,29.165,20.055,28.65920221,0.350473659,29.165,27.702,27.36131541,0.48730087,28.468,25.963,5.010635294,0.301530273,0.272742996,0.162509703,0.279098812,0.159930108,0.094067949,Middle,6/23/2015,15-Jun,23-Jun-15,6.229015273
239,2015SC023_29,AM_2015SC023_29,6.39,6/22/2015,2015,6/21/2015,15-23,2015SC023,SC,AM,296,21.199,35.368,34.705,6.23,21.04,21.04,14:41:40,4.39,31.93248333,9.305095916,45,21.127,31.14503571,8.163128502,45,21.151,40.87438235,5.928995366,45,28.245,31.63834722,9.480432958,45,20.889,40.62229412,6.244354527,45,27.554,23.59044803,1.550491093,27.505,21.151,35.28459721,0.742552337,36.933,33.001,35.99731806,1.527446286,37.893,29.615,35.08674405,1.902652054,37.178,29.615,36.61811765,1.58984509,37.893,31.23,35.48856389,1.617471823,37.425,28.816,36.31221324,1.609846769,37.425,30.369,35.60440502,0.369682302,36.471,33.887,5.690359454,0.291399069,0.26210047,0.145054066,0.29965007,0.153717427,0.065725377,Warm,6/22/2015,15-Jun,22-Jun-15,6.478134777
240,2015SC023_29,PM_2015SC023_29,18.41,6/22/2015,2015,6/21/2015,15-23,2015SC023,SC,PM,296,21.199,35.368,34.705,6.23,21.04,21.04,14:41:40,4.39,31.93248333,9.305095916,45,21.127,31.14503571,8.163128502,45,21.151,40.87438235,5.928995366,45,28.245,31.63834722,9.480432958,45,20.889,40.62229412,6.244354527,45,27.554,23.59044803,1.550491093,27.505,21.151,35.28459721,0.742552337,36.933,33.001,35.99731806,1.527446286,37.893,29.615,35.08674405,1.902652054,37.178,29.615,36.61811765,1.58984509,37.893,31.23,35.48856389,1.617471823,37.425,28.816,36.31221324,1.609846769,37.425,30.369,35.60440502,0.369682302,36.471,33.887,5.690359454,0.291399069,0.26210047,0.145054066,0.29965007,0.153717427,0.065725377,Warm,6/22/2015,15-Jun,22-Jun-15,17.44527191
245,2015SC023_34,AM_2015SC023_34,6.33,6/18/2015,2015,6/17/2015,15-14,2015SC014,SC,AM,152,39.403,36.688,36.31,6.24,21.05,21.05,14:40:41,2.59,27.37965972,9.097844055,45,17.13,25.10186905,6.060260528,37.315,17.201,36.70607353,6.505248739,45,23.665,26.03357639,6.313821564,38.115,18.176,32.02863603,4.687365214,38.115,22.776,19.57958423,1.553588288,22.657,17.13,35.30681755,0.865582329,36.905,30.874,35.05469167,2.132182614,36.96,27.21,33.24616667,3.326862246,36.933,27.21,36.05458456,1.405009816,36.96,29.414,33.9910875,2.496549859,36.146,24.75,34.74223897,1.491059208,36.146,28.345,34.93078136,0.25954721,35.368,34.255,5.023880521,0.332284774,0.241426665,0.177225405,0.242526093,0.146349199,0.079347358,Cool,6/18/2015,15-Jun,18-Jun-15,6.583540895
246,2015SC023_34,PM_2015SC023_34,16.59,6/18/2015,2015,6/17/2015,15-14,2015SC014,SC,PM,152,39.403,36.688,36.31,6.24,21.05,21.05,14:40:41,2.59,27.37965972,9.097844055,45,17.13,25.10186905,6.060260528,37.315,17.201,36.70607353,6.505248739,45,23.665,26.03357639,6.313821564,38.115,18.176,32.02863603,4.687365214,38.115,22.776,19.57958423,1.553588288,22.657,17.13,35.30681755,0.865582329,36.905,30.874,35.05469167,2.132182614,36.96,27.21,33.24616667,3.326862246,36.933,27.21,36.05458456,1.405009816,36.96,29.414,33.9910875,2.496549859,36.146,24.75,34.74223897,1.491059208,36.146,28.345,34.93078136,0.25954721,35.368,34.255,5.023880521,0.332284774,0.241426665,0.177225405,0.242526093,0.146349199,0.079347358,Cool,6/18/2015,15-Jun,18-Jun-15,17.41641003
250,2015SC023_37,AM_2015SC023_37,6.35,6/30/2015,2015,6/29/2015,15-23,2015SC023,SC,AM,198,18.414,35.502,32.164,6.26,21.05,21.05,14:39:28,4.35,30.13448333,10.21973995,45,18.129,28.68807784,8.506011978,44.596,18.343,40.31549632,6.191310438,45,26.94,28.08304722,7.029515493,42.238,19.341,34.81908088,4.254029328,42.238,24.992,20.58411071,1.548893585,24.75,18.129,35.27914058,0.750152986,36.933,32.872,35.85078889,2.218583205,38.087,25.841,34.1331018,3.71732895,37.453,25.841,37.35308088,0.411114614,38.087,36.552,36.40541667,0.827623386,37.673,32.691,37.08339338,0.271896584,37.673,36.173,35.34173929,0.313308704,36.254,34.836,5.288267031,0.339137719,0.296499892,0.15357148,0.250311707,0.122175233,0.075247049,Middle,6/30/2015,15-Jun,30-Jun-15,6.846107681
